Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Driveline,Engine Information.Engine Type,Engine Information.Hybrid,Engine Information.Number of Forward Gears,Engine Information.Transmission,Fuel Information.City mpg,Fuel Information.Fuel Type,Fuel Information.Highway mpg,Identification.Classification,Identification.ID,Identification.Make,Identification.Model Year,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque,Speed.Maximum,Speed.Accelaration,Color,Price,number_of_owners,pets,smoking,location,number_of_replacements,km
177,202,244,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 200 hp 207 ft-lbs Turbo,True,6,6 Speed Manual,21,Gasoline,31,Manual transmission,2010 Volkswagen Jetta Wolfsburg Edition,Volkswagen,2010 Volkswagen Jetta,2010,200,207,222,8.5,Amarelo,55000,3,Yes,No,Coimbra,0,40000
177,202,244,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 200 hp 207 ft-lbs Turbo,True,6,6 Speed Manual,21,Gasoline,31,Manual transmission,2010 Volkswagen Jetta Wolfsburg Edition PZEV,Volkswagen,2010 Volkswagen Jetta,2010,200,207,222,7.8,Encarnado,50000,4,No,Yes,Viana do Castelo,0,60000
177,202,244,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 140 hp 236 ft-lbs Turbo Diesel,True,6,6 Speed Manual,30,Gasoline,41,Manual transmission,2010 Volkswagen Jetta TDI Clean Diesel,Volkswagen,2010 Volkswagen Jetta,2010,140,236,220,8.5,Verde,65000,1,No,No,Porto,2,80000
177,202,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,True,6,6 Speed Automatic,23,Gasoline,30,Automatic transmission,2010 Volkswagen Jetta SEL PZEV AT,Volkswagen,2010 Volkswagen Jetta,2010,170,177,215,7.8,Prateado,60000,4,No,No,Castelo Branco,2,20000
177,202,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,True,6,6 Speed Automatic,23,Gasoline,30,Automatic transmission,2010 Volkswagen Jetta SEL AT,Volkswagen,2010 Volkswagen Jetta,2010,170,177,215,8.8,Azul Corrida,55000,1,Yes,No,Castelo Branco,3,80000
177,202,244,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 140 hp 236 ft-lbs Turbo Diesel,True,6,6 Speed Manual,30,Gasoline,41,Manual transmission,2010 Volkswagen Jetta TDI Cup Edition,Volkswagen,2010 Volkswagen Jetta,2010,140,236,237,8.5,Verde,55000,2,Yes,Yes,Guarda,3,150000
19,63,113,Rear-wheel drive,Toyota 4.0L 6 Cylinder 260 hp 271 ft-lbs,True,5,5 Speed Automatic,17,Gasoline,22,Automatic transmission,2010 Toyota FJ Cruiser,Toyota,2010 Toyota FJ Cruiser,2010,260,271,244,4.0,Verde,90000,1,Yes,No,Braga,2,5000
37,63,113,Four-wheel drive,Toyota 4.0L 6 Cylinder 260 hp 271 ft-lbs,True,6,6 Speed Manual,15,Gasoline,19,Manual transmission,2010 Toyota FJ Cruiser 4WD,Toyota,2010 Toyota FJ Cruiser,2010,260,271,244,4.0,Verde Corrida,70000,4,No,No,Guarda,2,150000
37,63,113,Four-wheel drive,Toyota 4.0L 6 Cylinder 260 hp 271 ft-lbs,True,5,5 Speed Automatic,17,Gasoline,21,Automatic transmission,2010 Toyota FJ Cruiser 4WD AT,Toyota,2010 Toyota FJ Cruiser,2010,260,271,244,4.5,Azul,90000,2,No,No,Porto,3,120000
194,177,118,Front-wheel drive,Toyota 2.7L 4 Cylinder 187 hp 186 ft-lbs,True,6,6 Speed Automatic Select Shift,20,Gasoline,25,Automatic transmission,2011 Toyota Highlander,Toyota,2011 Toyota Highlander,2011,187,186,223,8.8,Encarnado,65000,3,Yes,No,Braga,0,10
194,177,118,Front-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,True,6,6 Speed Automatic Select Shift,20,Gasoline,25,Automatic transmission,2011 Toyota Highlander V6,Toyota,2011 Toyota Highlander,2011,270,248,247,5.0,Preto,90000,1,No,No,Vila Real,0,10000
194,177,118,Four-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,True,5,5 Speed Automatic Select Shift,17,Gasoline,22,Automatic transmission,2011 Toyota Highlander V6 4WD,Toyota,2011 Toyota Highlander,2011,270,248,250,6.0,Verde Corrida,70000,3,No,Yes,Santarém,3,2000
224,177,118,Front-wheel drive,Toyota 2.7L 4 Cylinder 187 hp 186 ft-lbs,True,6,6 Speed Automatic Select Shift,20,Gasoline,25,Automatic transmission,2011 Toyota Highlander SE,Toyota,2011 Toyota Highlander,2011,187,186,215,8.4,Preto,50000,1,Yes,Yes,Guarda,2,170000
224,177,118,Front-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,True,5,5 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2011 Toyota Highlander SE V6,Toyota,2011 Toyota Highlander,2011,270,248,245,4.0,Encarnado,85000,2,Yes,No,Portalegre,1,150000
224,177,118,Four-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,True,5,5 Speed Automatic Select Shift,17,Gasoline,22,Automatic transmission,2011 Toyota Highlander SE V6 4WD,Toyota,2011 Toyota Highlander,2011,270,248,244,6.0,Verde,85000,2,Yes,No,Vila Real,1,2000
224,177,118,Front-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,True,5,5 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2011 Toyota Highlander Limited,Toyota,2011 Toyota Highlander,2011,270,248,244,5.0,Verde Corrida,85000,3,Yes,Yes,Guarda,0,5000
224,177,118,Four-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,True,5,5 Speed Automatic Select Shift,17,Gasoline,22,Automatic transmission,2011 Toyota Highlander Limited 4WD,Toyota,2011 Toyota Highlander,2011,270,248,250,5.0,Azul Corrida,85000,5,No,No,Faro,0,200000
194,177,118,Front-wheel drive,Toyota 2.7L 4 Cylinder 187 hp 186 ft-lbs,True,6,6 Speed Automatic,20,Gasoline,27,Automatic transmission,2010 Toyota Highlander,Toyota,2010 Toyota Highlander,2010,187,186,217,6.5,Laranja Lava,45000,1,Yes,No,Faro,2,50000
194,177,118,Front-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,True,5,5 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2010 Toyota Highlander V6,Toyota,2010 Toyota Highlander,2010,270,248,250,4.5,Branco,80000,1,No,No,Faro,3,300000
194,177,118,Four-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,True,5,5 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2010 Toyota Highlander V6 4WD,Toyota,2010 Toyota Highlander,2010,270,248,255,4.5,Branco,70000,1,No,Yes,Açores,0,1000
224,177,118,Front-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,True,5,5 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2010 Toyota Highlander Sport,Toyota,2010 Toyota Highlander,2010,270,248,245,4.0,Preto,70000,4,No,No,Lisboa,1,1000
224,177,118,Four-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,True,5,5 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2010 Toyota Highlander Sport 4WD,Toyota,2010 Toyota Highlander,2010,270,248,247,5.5,Azul,90000,5,Yes,Yes,Braga,0,150000
224,177,118,Front-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,True,5,5 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2010 Toyota Highlander SE,Toyota,2010 Toyota Highlander,2010,270,248,247,4.5,Azul Corrida,90000,1,Yes,No,Santarém,3,80000
224,177,118,Four-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,True,5,5 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2010 Toyota Highlander SE 4WD,Toyota,2010 Toyota Highlander,2010,270,248,247,6.0,Azul,70000,3,No,No,Porto,0,100000
224,177,118,Front-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,True,5,5 Speed Automatic Select Shift,18,Gasoline,24,Automatic transmission,2010 Toyota Highlander Limited,Toyota,2010 Toyota Highlander,2010,270,248,250,4.0,Preto,90000,1,No,No,Faro,1,10000
224,177,118,Four-wheel drive,Toyota 3.5L 6 Cylinder 270 hp 248 ft-lbs.,True,5,5 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2010 Toyota Highlander Limited 4WD,Toyota,2010 Toyota Highlander,2010,270,248,244,5.0,Cinzento,85000,1,No,Yes,Braga,0,50000
132,134,105,Front-wheel drive,Honda 3.5L 6 Cylinder 271 hp 254 ft-lbs,True,5,5 Speed Automatic,18,Gasoline,27,Automatic transmission,2011 Honda Accord Crosstour EX Hatchback,Honda,2011 Honda Accord Crosstour Hatchback,2011,271,254,245,6.0,Encarnado,90000,3,No,No,Porto,2,1000
132,134,105,Front-wheel drive,Honda 3.5L 6 Cylinder 271 hp 254 ft-lbs,True,5,5 Speed Automatic,18,Gasoline,27,Automatic transmission,2011 Honda Accord Crosstour EX-L Hatchback,Honda,2011 Honda Accord Crosstour Hatchback,2011,271,254,244,6.0,Prateado,80000,3,No,Yes,Açores,4,30000
132,134,105,Four-wheel drive,Honda 3.5L 6 Cylinder 271 hp 254 ft-lbs,True,5,5 Speed Automatic,18,Gasoline,26,Automatic transmission,2011 Honda Accord Crosstour EX-L Hatchback 4WD,Honda,2011 Honda Accord Crosstour Hatchback,2011,271,254,255,4.5,Azul Marinho,95000,2,No,Yes,Setúbal,3,30000
88,87,179,Four-wheel drive,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs,True,6,6 Speed Automatic Select Shift,13,Gasoline,18,Automatic transmission,2011 Toyota Land Cruiser,Toyota,2011 Toyota Land Cruiser,2011,381,401,320,3.0,Laranja Lava,200000,5,No,No,Açores,3,30000
88,87,179,Four-wheel drive,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs,True,6,6 Speed Automatic Select Shift,13,Gasoline,18,Automatic transmission,2010 Toyota Land Cruiser,Toyota,2010 Toyota Land Cruiser,2010,381,401,290,2.0,Cinzento,250000,1,No,Yes,Évora,1,300000
13,14,229,Front-wheel drive,Toyota 1.8L 4 Cylinder 132 hp 128 ft-lbs.,True,5,5 Speed Manual,26,Gasoline,32,Manual transmission,2011 Toyota Matrix,Toyota,2011 Toyota Matrix,2011,132,128,237,8.0,Azul Corrida,55000,1,Yes,No,Santarém,3,30000
13,14,229,Front-wheel drive,Toyota 1.8L 4 Cylinder 132 hp 128 ft-lbs.,True,4,4 Speed Automatic,25,Gasoline,32,Automatic transmission,2011 Toyota Matrix AT,Toyota,2011 Toyota Matrix,2011,132,128,230,7.0,Azul Corrida,55000,2,Yes,No,Setúbal,1,90000
13,14,229,Front-wheel drive,Toyota 2.4L 4 Cylinder 158 hp 162 ft-lbs.,True,5,5 Speed Manual,21,Gasoline,28,Manual transmission,2011 Toyota Matrix S,Toyota,2011 Toyota Matrix,2011,158,162,215,8.5,Amarelo,50000,4,No,Yes,Setúbal,0,30000
13,14,229,Front-wheel drive,Toyota 2.4L 4 Cylinder 158 hp 162 ft-lbs.,True,5,5 Speed Automatic Select Shift,21,Gasoline,29,Automatic transmission,2011 Toyota Matrix S AT,Toyota,2011 Toyota Matrix,2011,158,162,240,7.4,Cinzento,65000,1,No,No,Vila Real,2,170000
24,14,229,All-wheel drive,Toyota 2.4L 4 Cylinder 158 hp 162 ft-lbs.,True,4,4 Speed Automatic,20,Gasoline,26,Automatic transmission,2011 Toyota Matrix S AT AWD,Toyota,2011 Toyota Matrix,2011,158,162,237,8.8,Branco,60000,5,Yes,Yes,Lisboa,3,10000
38,95,189,Rear-wheel drive,Maybach 6.0L 12 Cylinder 631 hp 738 ft-lbs Turbo,True,5,5 Speed Automatic Select Shift,10,Gasoline,16,Automatic transmission,2010 Maybach 57 Zeppelin,Maybach,2010 Maybach 57,2010,631,738,290,3.0,Branco,200000,2,Yes,Yes,Viana do Castelo,1,70000
38,95,189,Rear-wheel drive,Maybach 5.5L 12 Cylinder 543 hp 664 ft-lbs Turbo,True,5,5 Speed Automatic Select Shift,10,Gasoline,16,Automatic transmission,2010 Maybach 57,Maybach,2010 Maybach 57,2010,543,664,300,1.9,Laranja Lava,150000,1,Yes,Yes,Faro,2,20000
1,95,189,Rear-wheel drive,Maybach 6.0L 12 Cylinder 604 hp 738 ft-lbs Turbo,True,5,5 Speed Automatic Select Shift,10,Gasoline,16,Automatic transmission,2010 Maybach 57 S,Maybach,2010 Maybach 57,2010,604,738,290,2.0,Prateado,250000,2,No,No,Setúbal,2,10000
38,95,189,Rear-wheel drive,Maybach 6.0L 12 Cylinder 631 hp 738 ft-lbs Turbo,True,5,5 Speed Automatic Select Shift,10,Gasoline,16,Automatic transmission,2010 Maybach 57 Zeppelin,Maybach,2010 Maybach 57,2011,631,738,350,1.9,Azul Marinho,250000,1,Yes,No,Évora,1,120000
1,95,189,Rear-wheel drive,Maybach 6.0L 12 Cylinder 620 hp 738 ft-lbs Turbo,True,5,5 Speed Automatic Select Shift,10,Gasoline,16,Automatic transmission,2011 Maybach 57 S,Maybach,2011 Maybach 57,2011,620,738,300,2.5,Azul Marinho,150000,2,No,No,Viseu,0,2000
38,20,189,Rear-wheel drive,Maybach 5.5L 12 Cylinder 543 hp 664 ft-lbs Turbo,True,5,5 Speed Automatic Select Shift,10,Gasoline,16,Automatic transmission,2010 Maybach 62,Maybach,2010 Maybach 62,2010,543,664,300,3.5,Branco,250000,5,No,No,Beja,1,150000
38,20,189,Rear-wheel drive,Maybach 6.0L 12 Cylinder 604 hp 738 ft-lbs Turbo,True,5,5 Speed Automatic Select Shift,10,Gasoline,16,Automatic transmission,2010 Maybach 62 S,Maybach,2010 Maybach 62,2010,604,738,350,1.9,Branco,250000,4,No,Yes,Setúbal,4,90000
38,20,189,Rear-wheel drive,Maybach 6.0L 12 Cylinder 631 hp 738 ft-lbs Turbo,True,5,5 Speed Automatic Select Shift,10,Gasoline,16,Automatic transmission,2010 Maybach 62 Zeppelin,Maybach,2010 Maybach 62,2010,631,738,290,2.5,Verde,100000,5,Yes,No,Portalegre,3,10000
38,20,189,Rear-wheel drive,Maybach 6.0L 12 Cylinder 620 hp 738 ft-lbs Turbo,True,5,5 Speed Automatic Select Shift,10,Gasoline,16,Automatic transmission,2011 Maybach 62 S,Maybach,2011 Maybach 62,2011,620,738,300,3.0,Prateado,150000,1,No,Yes,Beja,3,100000
38,20,189,Rear-wheel drive,Maybach 5.5L 12 Cylinder 543 hp 664 ft-lbs Turbo,True,5,5 Speed Automatic Select Shift,10,Gasoline,16,Automatic transmission,2011 Maybach 62,Maybach,2011 Maybach 62,2011,543,664,350,3.5,Preto,150000,2,Yes,No,Vila Real,3,10000
38,20,189,Rear-wheel drive,Maybach 6.0L 12 Cylinder 604 hp 738 ft-lbs Turbo,True,5,5 Speed Automatic Select Shift,10,Gasoline,16,Automatic transmission,2009 Maybach Landaulet,Maybach,2009 Maybach Landaulet,2009,604,738,300,3.0,Verde,100000,5,No,No,Viseu,3,40000
38,20,189,Rear-wheel drive,Maybach 6.0L 12 Cylinder 604 hp 738 ft-lbs Turbo,True,5,5 Speed Automatic Select Shift,10,Gasoline,16,Automatic transmission,2010 Maybach Landaulet,Maybach,2010 Maybach Landaulet,2010,604,738,350,2.5,Verde Corrida,250000,1,No,No,Braga,4,30000
38,20,189,Rear-wheel drive,Maybach 6.0L 12 Cylinder 620 hp 738 ft-lbs Turbo,True,5,5 Speed Automatic Select Shift,10,Gasoline,16,Automatic transmission,2011 Maybach Landaulet,Maybach,2011 Maybach Landaulet,2011,620,738,320,1.9,Amarelo,250000,3,Yes,No,Guarda,0,2000
13,14,229,Front-wheel drive,Toyota 1.8L 4 Cylinder 132 hp 128 ft-lbs.,True,5,5 Speed Manual,26,Gasoline,32,Manual transmission,2010 Toyota Matrix,Toyota,2010 Toyota Matrix,2010,132,128,235,7.8,Cinzento,50000,3,Yes,Yes,Coimbra,3,30000
13,14,229,Front-wheel drive,Toyota 1.8L 4 Cylinder 132 hp 128 ft-lbs.,True,4,4 Speed Automatic,25,Gasoline,31,Automatic transmission,2010 Toyota Matrix  AT,Toyota,2010 Toyota Matrix,2010,132,128,220,8.5,Laranja Lava,55000,3,Yes,Yes,Aveiro,0,120000
13,42,229,Front-wheel drive,Toyota 2.4L 4 Cylinder 158 hp 162 ft-lbs.,True,5,5 Speed Manual,21,Gasoline,28,Manual transmission,2010 Toyota Matrix  S,Toyota,2010 Toyota Matrix,2010,158,162,222,8.2,Laranja Lava,65000,2,Yes,Yes,Viseu,2,250000
13,42,229,Front-wheel drive,Toyota 2.4L 4 Cylinder 158 hp 162 ft-lbs.,True,5,5 Speed Automatic Select Shift,21,Gasoline,29,Automatic transmission,2010 Toyota Matrix S AT,Toyota,2010 Toyota Matrix,2010,158,162,222,6.5,Branco,60000,5,No,No,Portalegre,0,20000
24,42,229,All-wheel drive,Toyota 2.4L 4 Cylinder 158 hp 162 ft-lbs.,True,4,4 Speed Automatic,20,Gasoline,26,Automatic transmission,2010 Toyota Matrix S AT AWD,Toyota,2010 Toyota Matrix,2010,158,162,235,7.2,Prateado,45000,2,No,No,Guarda,4,60000
23,42,229,Front-wheel drive,Toyota 2.4L 4 Cylinder 158 hp 162 ft-lbs.,True,5,5 Speed Manual,21,Gasoline,28,Manual transmission,2010 Toyota Matrix XRS,Toyota,2010 Toyota Matrix,2010,158,162,217,7.8,Prateado,55000,2,Yes,No,Braga,4,70000
23,42,229,Front-wheel drive,Toyota 2.4L 4 Cylinder 158 hp 162 ft-lbs.,True,5,5 Speed Automatic Select Shift,21,Gasoline,29,Automatic transmission,2010 Toyota Matrix XRS AT,Toyota,2010 Toyota Matrix,2010,158,162,240,8.4,Verde,55000,3,No,No,Coimbra,0,2000
13,14,229,Front-wheel drive,Toyota 1.8L 4 Cylinder 132 hp 128 ft-lbs.,True,4,4 Speed Automatic,25,Gasoline,31,Automatic transmission,2010 Toyota Matrix  AT,Nissan,2010 Toyota Matrix,2010,132,128,220,8.2,Azul Corrida,65000,3,Yes,No,Viana do Castelo,1,50000
189,155,222,Four-wheel drive,Nissan 5.6L 8 Cylinder 317 hp 385 ft-lbs FFV,True,5,5 Speed Automatic,12,Gasoline,18,Automatic transmission,2011 Nissan Armada SV 4x4 FFV,Nissan,2011 Nissan Armada,2011,317,385,244,6.0,Verde Corrida,95000,2,Yes,Yes,Açores,3,300000
189,155,222,Four-wheel drive,Nissan 5.6L 8 Cylinder 317 hp 385 ft-lbs FFV,True,5,5 Speed Automatic,12,Gasoline,18,Automatic transmission,2011 Nissan Armada Platinum 4x4,Nissan,2011 Nissan Armada,2011,317,385,255,6.0,Azul Corrida,70000,2,No,Yes,Lisboa,2,300000
189,155,222,Four-wheel drive,Nissan 5.6L 8 Cylinder 317 hp 385 ft-lbs FFV,True,5,5 Speed Automatic,12,Gasoline,18,Automatic transmission,2011 Nissan Armada SL 4x4 FFV,Nissan,2011 Nissan Armada,2011,317,385,244,4.0,Laranja,75000,5,Yes,No,Setúbal,0,70000
168,155,222,Rear-wheel drive,Nissan 5.6L 8 Cylinder 317 hp 385 ft-lbs,True,5,5 Speed Automatic,13,Gasoline,19,Automatic transmission,2011 Nissan Armada Platinum,Nissan,2011 Nissan Armada,2011,317,385,245,4.5,Preto,95000,5,Yes,Yes,Castelo Branco,0,30000
168,155,222,Rear-wheel drive,Nissan 5.6L 8 Cylinder 317 hp 385 ft-lbs FFV,True,5,5 Speed Automatic,12,Gasoline,18,Automatic transmission,2011 Nissan Armada SV FFV,Nissan,2011 Nissan Armada,2011,317,385,245,4.5,Amarelo,90000,3,Yes,Yes,Aveiro,0,50000
168,155,222,Rear-wheel drive,Nissan 5.6L 8 Cylinder 317 hp 385 ft-lbs FFV,True,5,5 Speed Automatic,12,Gasoline,18,Automatic transmission,2011 Nissan Armada SL FFV,Nissan,2011 Nissan Armada,2011,317,385,245,4.0,Azul,75000,2,No,Yes,Évora,3,50000
223,204,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,True,5,5 Speed Manual,23,Gasoline,33,Manual transmission,2011 Volkswagen Jetta SportWagen S PZEV,Volkswagen,2011 Volkswagen Jetta SportWagen,2011,170,177,235,7.4,Verde,65000,1,Yes,Yes,Porto,1,150000
223,204,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,True,6,6 Speed Automatic,24,Gasoline,31,Automatic transmission,2011 Volkswagen Jetta SportWagen S PZEV AT,Volkswagen,2011 Volkswagen Jetta SportWagen,2011,170,177,240,8.2,Azul Corrida,65000,4,Yes,No,Braga,3,10000
223,204,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,True,5,5 Speed Manual,23,Gasoline,33,Manual transmission,2011 Volkswagen Jetta SportWagen S,Volkswagen,2011 Volkswagen Jetta SportWagen,2011,170,177,220,8.8,Encarnado,45000,1,Yes,Yes,Beja,2,90000
223,204,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,True,6,6 Speed Automatic,24,Gasoline,31,Automatic transmission,2011 Volkswagen Jetta SportWagen S AT,Volkswagen,2011 Volkswagen Jetta SportWagen,2011,170,177,222,8.5,Encarnado,65000,1,Yes,No,Viana do Castelo,2,20000
223,204,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,True,6,6 Speed Automatic,24,Gasoline,31,Automatic transmission,2011 Volkswagen Jetta SportWagen SE,Volkswagen,2011 Volkswagen Jetta SportWagen,2011,170,177,223,7.8,Preto,60000,1,Yes,No,Santarém,1,1000
223,204,244,Front-wheel drive,Volkswagen 2.5L 5 Cylinder 170 hp 177 ft-lbs,True,6,6 Speed Automatic,24,Gasoline,31,Automatic transmission,2011 Volkswagen Jetta SportWagen SE PZEV,Volkswagen,2011 Volkswagen Jetta SportWagen,2011,170,177,225,8.0,Laranja Lava,50000,1,Yes,No,Açores,1,170000
223,204,244,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 140 hp 236 ft-lbs Turbo Diesel,True,6,6 Speed Manual,30,Gasoline,42,Manual transmission,2011 Volkswagen Jetta SportWagen TDI Clean Diesel,Volkswagen,2011 Volkswagen Jetta SportWagen,2011,140,236,227,8.2,Azul Marinho,50000,1,No,Yes,Viana do Castelo,1,70000
226,214,173,Front-wheel drive,Chevrolet 1.6L 4 Cylinder 108 hp 105 ft-lbs,True,5,5 Speed Manual,27,Gasoline,35,Manual transmission,2011 Chevrolet Aveo  LS,Chevrolet,2011 Chevrolet Aveo,2011,108,105,180,9.8,Encarnado,20000,4,No,No,Porto,3,80000
226,214,173,Front-wheel drive,Chevrolet 1.6L 4 Cylinder 108 hp 105 ft-lbs,True,5,5 Speed Manual,27,Gasoline,35,Manual transmission,2011 Chevrolet Aveo  1LT,Chevrolet,2011 Chevrolet Aveo,2011,108,105,210,9.0,Preto,25000,2,Yes,No,Guarda,1,70000
226,214,173,Front-wheel drive,Chevrolet 1.6L 4 Cylinder 108 hp 105 ft-lbs,True,4,4 Speed Automatic,25,Gasoline,34,Automatic transmission,2011 Chevrolet Aveo  1LT AT,Chevrolet,2011 Chevrolet Aveo,2011,108,105,200,9.8,Azul Marinho,20000,3,Yes,No,Portalegre,1,200000
226,214,173,Front-wheel drive,Chevrolet 1.6L 4 Cylinder 108 hp 105 ft-lbs,True,5,5 Speed Manual,27,Gasoline,35,Manual transmission,2011 Chevrolet Aveo  2LT,Chevrolet,2011 Chevrolet Aveo,2011,108,105,210,9.0,Encarnado,30000,3,No,Yes,Viana do Castelo,1,100000
226,214,173,Front-wheel drive,Chevrolet 1.6L 4 Cylinder 108 hp 105 ft-lbs,True,4,4 Speed Automatic,25,Gasoline,34,Automatic transmission,2011 Chevrolet Aveo  2LT AT,Chevrolet,2011 Chevrolet Aveo,2011,108,105,180,10.5,Azul Marinho,15000,5,No,Yes,Faro,3,40000
137,215,62,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 200 hp 207 ft-lbs Turbo,True,6,6 Speed Manual,21,Gasoline,31,Manual transmission,2010 Volkswagen CC Sport PZEV,Volkswagen,2010 Volkswagen CC,2010,200,207,227,8.8,Cinzento,45000,2,No,No,Beja,3,50000
137,190,62,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 200 hp 207 ft-lbs Turbo,True,6,6 Speed Manual,21,Gasoline,31,Manual transmission,2010 Volkswagen CC Sport,Volkswagen,2010 Volkswagen CC,2010,200,207,237,7.0,Prateado,60000,1,Yes,Yes,Viseu,1,20000
137,190,62,Front-wheel drive,Volkswagen 3.6L 6 Cylinder 280 hp 265 ft-lbs,True,6,6 Speed Automatic,18,Gasoline,27,Automatic transmission,2010 Volkswagen CC VR6 Sport,Volkswagen,2010 Volkswagen CC,2010,280,265,250,5.0,Branco,90000,3,Yes,Yes,Faro,2,200000
137,190,62,Front-wheel drive,Volkswagen 3.6L 6 Cylinder 280 hp 265 ft-lbs,True,6,6 Speed Automatic,17,Gasoline,25,Automatic transmission,2010 Volkswagen CC VR6 4Motion Executive,Volkswagen,2010 Volkswagen CC,2010,280,265,244,5.0,Azul,90000,5,Yes,No,Beja,0,5000
179,52,237,All-wheel drive,Audi 4.2L 8 cylinder 350 hp 325 ft-lbs,True,6,6 Speed Automatic Select Shift,16,Gasoline,24,Automatic transmission,2011 Audi A6 Sedan 4.2,Audi,2011 Audi A6 Sedan,2011,350,325,300,1.9,Cinzento,200000,1,Yes,No,Aveiro,0,150000
179,52,220,All-wheel drive,Audi 3.0L 6 Cylinder 300 hp 310 ft-lbs,True,6,6 Speed Automatic Select Shift,18,Gasoline,26,Automatic transmission,2010 Audi A6 Sedan 3.0 T,Audi,2010 Audi A6 Sedan,2010,300,310,247,4.5,Verde Corrida,80000,3,No,Yes,Vila Real,4,150000
226,79,142,Front-wheel drive,Chevrolet 1.6L 4 Cylinder 108 hp 105 ft-lbs,True,5,5 Speed Manual,27,Gasoline,35,Manual transmission,2011 Chevrolet  Aveo5 LS,Chevrolet,2011 Chevrolet Aveo5,2011,108,105,185,10.5,Laranja Lava,40000,2,Yes,Yes,Madeira,0,10000
226,79,142,Front-wheel drive,Chevrolet 1.6L 4 Cylinder 108 hp 105 ft-lbs,True,5,5 Speed Manual,27,Gasoline,35,Manual transmission,2011 Chevrolet  Aveo5 1LT,Chevrolet,2011 Chevrolet Aveo5,2011,108,105,190,9.8,Branco,40000,1,Yes,Yes,Guarda,0,5000
226,79,142,Front-wheel drive,Chevrolet 1.6L 4 Cylinder 108 hp 105 ft-lbs,True,4,4 Speed Automatic,25,Gasoline,34,Automatic transmission,2011 Chevrolet  Aveo5 1LT AT,Chevrolet,2011 Chevrolet Aveo5,2011,108,105,170,9.0,Preto,15000,1,Yes,No,Viseu,4,70000
226,79,142,Front-wheel drive,Chevrolet 1.6L 4 Cylinder 108 hp 105 ft-lbs,True,5,5 Speed Manual,27,Gasoline,35,Manual transmission,2011 Chevrolet  Aveo5 2LT,Chevrolet,2011 Chevrolet Aveo5,2011,108,105,190,9.8,Branco,30000,1,Yes,No,Castelo Branco,4,30000
226,79,142,Front-wheel drive,Chevrolet 1.6L 4 Cylinder 108 hp 105 ft-lbs,True,4,4 Speed Automatic,25,Gasoline,34,Automatic transmission,2011 Chevrolet  Aveo5 2LT AT,Chevrolet,2011 Chevrolet Aveo5,2011,108,105,171,10.5,Branco,35000,2,Yes,Yes,Santarém,3,1000
